Index,UnitID,Sample_Date&Time,ConvNum,FirstFreq,FinalFreq,VoltageAng,VoltageMag,DateCreated,TimeIndex
7193,1193,12/3/2017 5:02:00,97,59.97,59.97,0.06,126.89,12/3/2017 0:02:01,181297
7194,1193,12/3/2017 5:02:00,98,59.97,59.97,6.08,126.88,12/3/2017 0:02:01,181298
7195,1193,12/3/2017 5:02:00,99,59.97,59.97,0.06,126.88,12/3/2017 0:02:01,181299
7196,1193,12/3/2017 5:02:01,100,59.97,59.97,6.07,126.88,12/3/2017 0:02:01,181200
7197,1193,12/3/2017 5:02:01,101,59.97,59.97,0.06,126.88,12/3/2017 0:02:01,181201
7198,1193,12/3/2017 5:02:01,102,59.97,59.97,6.07,126.89,12/3/2017 0:02:01,181202
7199,1193,12/3/2017 5:02:02,103,59.98,59.98,0.06,126.92,12/3/2017 0:02:01,181203
7200,1193,12/3/2017 5:02:02,104,59.98,59.98,6.07,126.92,12/3/2017 0:02:01,181204
7201,1193,12/3/2017 5:02:02,105,59.98,59.98,0.05,126.92,12/3/2017 0:02:01,181205
7202,1193,12/3/2017 5:02:02,104,59.98,59.98,6.07,126.95,12/3/2017 0:02:01,181206
7203,1193,12/3/2017 5:02:00,105,59.98,59.98,0.05,126.95,12/3/2017 0:02:01,181207
7204,1193,12/3/2017 5:02:00,108,59.98,59.98,6.06,126.94,12/3/2017 0:02:01,181208
7205,1193,12/3/2017 5:02:00,109,59.97,59.97,0.05,126.96,12/3/2017 0:02:01,181209
7206,1193,12/3/2017 5:02:00,110,59.97,59.97,6.06,126.96,12/3/2017 0:02:01,181210
7207,1193,12/3/2017 5:02:00,111,59.97,59.97,0.05,126.95,12/3/2017 0:02:01,181211
7208,1193,12/3/2017 5:02:00,112,59.97,59.97,6.06,126.96,12/3/2017 0:02:01,181212
7209,1193,12/3/2017 5:02:00,113,59.97,59.97,0.05,126.96,12/3/2017 0:02:01,181213
7210,1193,12/3/2017 5:02:00,114,59.97,59.97,6.06,126.95,12/3/2017 0:02:01,181214
7211,1193,12/3/2017 5:02:00,115,59.97,59.97,0.04,126.96,12/3/2017 0:02:01,181215
7212,1193,12/3/2017 5:02:00,116,59.97,59.97,6.06,126.98,12/3/2017 0:02:01,181216
7137,1193,12/3/2017 5:02:00,141,59.97,59.97,0.13,126.88,12/3/2017 0:02:00,181241
7138,1193,12/3/2017 5:02:00,142,59.97,59.97,6.14,126.88,12/3/2017 0:02:00,181242
7222,1193,12/3/2017 5:02:01,106,59.97,59.97,6.04,126.95,12/3/2017 0:02:01,181216
7223,1193,12/3/2017 5:02:01,107,59.97,59.97,0.03,126.94,12/3/2017 0:02:01,181217
